Region,Side,Treatment F value,Genotype F Value,Time.Point F Value,Treatment:Genotype F Value,Treatment:Time.Point F Value,Genotype:Time Point F Value,Treatment:Genotype:Time Point F Value,Treatment P value,Genotype P Value,Time.Point P Value,Treatment:Genotype P Value,Treatment:Time.Point P Value,Genotype:Time Point P Value,Treatment:Genotype:Time Point P Value
CoN,Left,1.2428,0.0712,5.5381,1.1352,1.2777,0.0006,1.4109,0.29554,0.78992,0.01964,0.33613,0.28335,0.98106,0.24098
Pn,Left,0.5499,2.9131,0.6176,0.2084,1.14,0.4807,0.3792,0.6488,0.08952,0.43295,0.89049,0.33422,0.48898,0.76808
RTg,Left,1.5906,2.3725,2.3349,1.7405,0.9713,0.5788,1.8946,0.1931,0.1252,0.1282,0.1602,0.4074,0.4477,0.132
Oliv,Left,1.1244,0.05582,10.3767,1.5265,0.5884,0.01152,1.0604,0.340444,0.80969,0.001504,0.209037,0.623352,0.902132,0.367196
PnC,Left,1.2468,1.671,5.1151,0.76,0.0707,3.3726,1.5067,0.29348,0.19771,0.02486,0.51786,0.97552,0.06787,0.21422
Sp5,Left,2.6949,0.245,2.1562,0.3281,0.7784,0.4615,2.2285,0.04734,0.62116,0.14367,0.80507,0.50736,0.49777,0.0863
Ve,Left,1.6554,0.0554,9.0172,1.5201,3.66,0.803,0.928,0.178158,0.941475,0.003038,0.210702,0.013467,0.371355,0.428335
Gi,Left,0.8378,1.3316,11.5391,0.5543,0.2852,1.7078,0.3316,0.4746755,0.249985,0.0008317,0.645888,0.8360732,0.1928655,0.802496
Cu,Left,0.3445,0.8539,2.3156,0.9787,0.7252,1.9698,2.8077,0.7932,0.3566,0.1298,0.4039,0.5381,0.1621,0.0409
ac,Left,1.9399,0.8864,10.4564,1.4892,1.1942,4.5243,0.8606,0.124613,0.347652,0.001444,0.218887,0.31327,0.034721,0.462594
ot,Left,0.3492,0.17022,26.8684,1.12204,0.0558,0.3877,0.8238,0.7898,0.6804,5.59E-07,0.3421,0.9826,0.5343,0.4823
fi,Left,2.3823,0.0255,0.5108,2.3544,0.0445,0.2214,0.7182,0.07085,0.87325,0.47567,0.07344,0.98751,0.63852,0.54225
cc,Left,2.111,1.2033,0.0951,0.9338,0.2179,3.278,0.7708,0.10027,0.27407,0.75811,0.42549,0.88389,0.07181,0.51169
fx,Left,0.7201,1.5709,1.1343,2.6009,0.0851,0.0275,0.971,0.54112,0.21163,0.28823,0.05346,0.96809,0.86839,0.40755
st,Left,1.0996,7.8016,0.2257,1.2026,0.3674,1.6866,2.2152,0.3506,0.00576,0.63531,0.31013,0.77659,0.19565,0.08778
cg,Left,0.8486,9.0766,1.093,0.448,1.4625,0.0143,3.3296,0.468899,0.002946,0.297147,0.719018,0.2262,0.905051,0.020738
Io,Left,1.1137,0.0145,1.4211,2.732,0.5883,0.9796,0.275,0.34481,0.9042,0.23473,0.04512,0.62336,0.32357,0.84341
vhc,Left,0.1123,2.4642,0.3288,1.3825,0.0155,0.3213,0.4993,0.9528,0.1182,0.5671,0.2495,0.9973,0.5715,0.6832
ic,Left,3.1424,0.5125,30.7676,1.3944,0.3139,0.9727,1.73244,0.02647,0.47495,9.77E-08,0.2459,0.81532,0.32526,0.16182
fr,Left,2.7811,0.3911,1.36,0.9745,0.4871,0.3089,1.2744,0.04234,0.53247,0.24502,0.40592,0.69164,0.57899,0.2845
sm,Left,0.4617,0.2187,0.2575,2.9358,1.3251,0.2058,0.6616,0.7094,0.64059,0.61246,0.03464,0.26755,0.65063,0.57664
mt,Left,0.6604,1.3445,0.08,1.5308,0.7395,11.9517,0.955,0.577363,0.2477102,0.7776669,0.2079413,0.5297169,0.0006751,0.4151924
pc,Left,2.4702,0.0001,0.9655,0.7459,2.0966,2.093,1.6036,0.06328,0.99159,0.32708,0.52598,0.10213,0.14964,0.19001
bsc,Left,0.1088,2.3245,2.0301,1.7053,0.3574,0.2836,0.3998,0.9549,0.129,0.1559,0.1674,0.7838,0.595,0.7533
cp,Left,0.3676,2.8863,20.4882,0.7202,0.4487,0.8895,0.1925,0.77645,0.09099,1.06E-05,0.54107,0.71847,0.34683,0.90145
ll,Left,0.279,2.1314,1.1017,0.9226,0.4389,0.0164,0.1142,0.8405,0.146,0.2952,0.431,0.7254,0.8983,0.9517
sp5,Left,0.0773,0.0064,3.9016,0.8215,0.253,2.393,1.5854,0.9722,0.9365,0.0497,0.4835,0.8591,0.1236,0.1943
py,Left,1.7826,0.632,1.6029,1.855,1.4041,0.345,0.1312,0.1519,0.42276,0.20711,0.1387,0.243,0.5577,0.9414
n8,Left,0.5097,0.5729,0.8485,1.2592,0.1141,1.2228,0.9507,0.6761,0.45,0.3581,0.2897,0.9518,0.2702,0.4173
n7,Left,0.5399,0.1305,3.7772,0.422,0.8954,1.9075,0.3997,0.65552,0.71833,0.05345,0.73746,0.44462,0.16888,0.75338
Ifp,Left,1.0723,0.6811,0.8365,0.5916,1.209,2.8961,0.2413,0.36208,0.41024,0.36156,0.62125,0.30779,0.09045,0.86741
mlf_ts,Left,2.8199,2.3113,4.1166,0.4212,0.6209,2.3801,0.5008,0.04026,0.13011,0.04388,0.73798,0.60227,0.12457,0.6822
sc,Left,0.6742,2.7506,14.5148,1.1879,0.2071,1.2261,0.7875,0.5688342,0.0988841,0.0001883,0.3156647,0.8913807,0.269575,0.502228
ml,Left,1.0224,0.0117,0.0321,1.3734,1.3057,0.3451,1.2378,0.3839,0.9139,0.8579,0.2523,0.2739,0.5576,0.2973
vsc,Left,1.0229,1.0617,2.2078,2.2934,0.6152,0.4223,0.1806,0.38367,0.20723,0.13899,0.07942,0.60595,0.51657,0.90947
mcp,Left,0.455,8.2054,0.2165,0.2999,0.153,0.4945,0.541,0.714037,0.004652,0.642236,0.825473,0.927675,0.482807,0.654772
